Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.38341,8.264203,3.521728,1.524192,1.659606,2.686068,2.022276,2.750544,2.864752,2.334607,2.631337,2.68011,2.055751,2.286086,2.539243,3.144568,3.224494,3.860263,4.229497,3.309619,3.032581,3.723183,4.528347,4.381825,4.336683,4.274936,4.070692,4.287569,4.559645
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.227717,32.105934,19.788445,15.985386,15.366732,15.515224,10.859389,10.56791,9.764816,10.514795,10.415784,15.832402,16.088992,16.549309,17.218857,17.150241,18.89351,16.804082,19.663583,16.83579,16.101362,17.656757,19.353675,19.370084,20.678179,20.207108,20.347116,19.814674,20.562905
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.661235,23.515263,31.769621,30.051951,26.698001,23.702833,25.711023,30.112287,29.267892,30.303391,30.890337,31.28421,31.86737,33.208888,36.204107,36.785246,37.163619,37.625703,38.546085,31.461733,39.456825,37.151905,36.477259,36.79696,36.33841,33.814617,33.731511,34.581712,36.769696
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.932702,0.857623,0.80784,0.276332,0.330154,0.289106,0.485007,0.290974,0.33177,0.338283,0.462085,0.298648,0.28239,0.373828,0.590178,0.700448,0.736245,0.778051,0.771437,0.444766,0.467032,0.531458,0.489349,0.380392,0.355298,0.415634,0.432598,0.468093,0.465669
Bulgaria,0.580938,0.391398,0.394327,0.859239,2.281895,3.990881,5.092522,5.432775,5.812308,7.470803,8.126719,8.992875,9.449607,9.935422,10.83677,10.76154,12.001069,11.65804,12.00112,11.032772,9.869179,8.780312,7.294593,7.254555,9.171458,9.166157,7.888002,6.766266,5.708046,5.986549,5.392584,4.88824,5.08616,5.003156,5.653819,5.97423,6.132364,5.895061,4.560863,4.798317,5.427524,5.187595,4.96357,4.89233,5.106255,5.069145,5.218371,5.120126
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.174564,3.67032,3.743228,4.246865,3.930293,3.416709,3.8743,4.015268,3.992649,3.94034,4.003958,4.393286,4.582876,4.455036,4.713645,4.531326,4.508,5.209659,4.972912,4.73894,5.075609,4.796751,4.232122,4.18966,3.544801,3.694201,3.940845,4.64125,4.287317
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.696862,9.19847,9.151464,7.340993,3.609277,2.162941,1.819558,1.553223,1.586699,1.620679,2.238373,1.613105,1.139862,1.263866,1.531765,1.931899,2.46265,2.770285,2.17935,2.242968,2.082763,2.898732,3.392424,3.184475,3.75041,4.09148,3.88527,4.152237,4.04718
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.940394,23.743781,34.858296,24.617611,18.97192,23.60877,18.31141,15.690171,15.701784,15.703753,15.32942,11.470773,15.836643,19.504186,22.156426,28.649086,34.758376,39.476616,47.942123,46.37557,53.770689,53.332435,53.670213,56.770299,28.14548,26.658163,29.11634,32.529039,32.002517
