Region,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.533267,2.104567,1.27384,0.690271,0.688404,0.096255,0.050855,0.050855,0.085643,0.06622,0.033774,0.075927,0.058123,0.12431,0.028998,0.037283,0.033141,0.156847,0.265004,0.472813,0.100689,0.265419,0.460971,1.345918,1.233805,1.151004,1.112782,1.235022,1.271877
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,158.691867,158.745595,160.449174,146.599496,138.746549,114.269252,101.955829,85.153493,85.511621,79.542819,74.719591,76.859859,81.315736,91.548433,100.559543,102.691849,107.377694,115.904648,145.435568,128.444741,137.624515,145.637298,147.599346,145.769231,136.307599,128.550977,138.883135,139.942662,138.384366
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.095591,5.197798,5.163126,5.44456,5.485536,5.244407,5.228938,5.470972,5.902299,6.701624,7.077453,6.858141,6.470903,6.613533,5.770427,6.617207,7.134891,6.002992,6.085971
Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.222975,9.331998,4.052475,3.625175,3.445052,1.312446,1.950321,2.044025,2.031352,2.044598,1.884912,1.292089,2.104837,2.488595,2.291916,2.217326,2.10455,2.421506,3.349677,2.895501,2.825472,3.020552,4.234568,3.371009,4.153307,4.340888,3.538848,3.504204,4.221445
Malta,0,0,0,0,0,0,0,0,0,0,0,0.058576,0.126915,0.229424,0.468611,0.331932,0.444204,0.558916,0.739526,0.732204,0.593085,0.500339,0.732204,0.497899,0.126915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.927509,7.099603,4.234425,3.925038,3.837,2.347286,2.027693,1.094818,0.986545,0.550738,0.452271,0.357317,0.443363,0.62954,0.332274,0.436531,0.391891,0.29413,0.408191,0.389688,0.426686,0.43145,0.442854,0.601795,0.376981,0.392266,0.288815,0.409532,0.337414
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.210402,1.363387,1.05512,1.586935,0.870816,1.774841,1.794375,1.611124,1.555311,1.516243,1.599961,1.266016,1.286295,1.524571
Republic of North Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.606552,5.635079,5.604047,5.618217,5.839524,6.025703,6.222813,5.817233,7.035258,6.16462,5.65406,6.252475,5.439405,6.215196,5.90431,6.186048,6.046217,6.15508,6.302215,5.642869,5.464006,6.237317,5.862988,4.906527,4.543627,4.091572,3.680243,4.031193,3.634764
Romania,32.535681,33.571643,36.775729,39.083938,39.488925,41.282048,40.838728,46.225502,49.626299,50.774157,53.552629,50.971569,58.92921,57.268811,59.68628,60.700251,65.460585,73.298043,70.254931,50.661689,41.340724,43.442059,39.436032,39.471518,41.269275,41.414031,35.746678,30.118924,26.742736,29.510806,30.652149,31.579686,36.633534,35.517716,36.292042,39.029485,39.22717,38.421242,31.375609,29.667925,34.639839,31.83179,25.090941,24.733925,25.672168,22.956752,22.858484,21.881159
Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,707.186514,657.991953,586.19653,515.851898,470.264292,483.694879,481.586703,413.836017,401.079465,427.225287,443.077155,438.825497,429.495629,429.082805,414.053902,413.597155,435.546648,419.444257,426.748899,375.415401,405.004846,425.025774,435.609603,414.469059,382.961713,411.057313,396.225039,387.932612,411.175498
Serbia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.080886,36.225985,36.928242,34.271185,31.417884,36.870339,38.137795,39.283726,42.576337,31.432079,35.673774,34.421432,36.411371,38.997837,40.6502,34.814375,36.17148,34.528919,35.73525,32.838832,32.117302,36.41689,31.714601,32.927117,26.404188,32.326948,32.910693,33.026132,31.367343
