Region,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.491523,11.905059,6.886957,3.389523,0.95304,0.676686,0.372444,0.397287,0.409685,0.591804,0.790913,0.778393,0.8199,0.9417,0.926266,0.985277,0.924704,0.932102,1.04017,0.959855,1.013235,0.949632,0.905352,0.858432,0.898677,0.823924,0.838832,0.876507,0.830868
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.904433,19.689831,22.602944,21.361916,17.896958,16.84665,16.203046,15.695217,16.48899,15.250116,16.889964,10.001694,9.425814,11.283086,10.185718,11.868248,10.50278,9.891545,9.147867,7.685881,7.431114,8.793168,9.541071,9.995525,9.994993,10.459851,10.935146,10.863613,10.247977
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.601864,63.294996,46.772727,37.95685,31.354097,27.705111,26.573098,23.422835,22.547293,20.060972,17.280606,16.247461,15.888817,15.270971,15.657403,15.678757,17.596123,15.789055,17.696179,21.739726,17.736559,16.788468,18.029746,17.44665,16.986997,15.71057,15.979914,16.065312,16.91121
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.365413,4.86497,1.624651,1.390478,1.477251,1.51768,1.564091,1.610726,2.005657,1.972765,3.202798,3.356606,3.126612,3.01573,3.31774,3.201258,3.359793,3.592053,4.170719,4.486519,4.463901,4.518132,4.09156,4.11911,4.192364,4.380521,4.924048,4.960672,4.772144
Bulgaria,29.212117,30.499628,31.951024,33.285234,35.097779,36.05903,37.33163,38.406899,39.672403,38.758061,33.876283,32.614662,31.127617,28.578708,28.041653,29.449675,28.134157,29.907899,28.984196,25.800885,17.0137,14.808685,14.94651,14.2881,13.319302,13.528174,10.920539,11.749603,11.449564,10.056306,10.342013,10.614562,11.305705,11.266701,11.843525,12.321039,12.006699,11.384481,11.216077,10.869081,10.028852,10.498498,9.605162,10.432757,11.459594,11.852223,12.157985,12.246011
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.752436,9.387686,8.96482,9.374652,9.33004,10.618849,10.167451,11.225974,12.660189,12.579612,11.029822,11.395134,11.894192,13.097515,12.083861,12.613084,12.888413,13.20765,12.306691,12.241596,10.397189,10.320061,9.621971,8.96634,8.931515,9.349053,9.262237,9.909979,9.426789
Cyprus,1.744456,2.167908,2.275467,1.735447,1.658258,1.93937,2.115335,2.233691,2.428702,2.574554,2.528048,2.571672,2.62128,2.612381,2.584471,2.899659,3.226583,3.427914,3.56546,3.637648,4.190615,4.680771,4.860201,5.074401,4.996027,5.301216,5.421956,5.746496,5.99433,6.176844,6.051718,6.210737,6.878619,6.742318,6.886895,6.949619,7.252133,7.434001,7.405226,7.151307,6.970583,6.513158,5.625412,5.724834,5.827639,6.20358,6.277497,6.159551
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.258129,14.202869,9.444299,7.940643,6.105667,5.877651,4.458443,3.878045,3.237297,2.697724,2.360502,1.692813,1.621771,1.631815,1.64415,2.096474,2.029832,2.526261,2.22256,2.576437,2.811575,2.78958,2.756513,2.687992,2.864497,3.287328,3.959105,3.552577,3.451307
Gibraltar,0.068532,0.05923,0.059001,0.059048,0.062036,0.062083,0.058987,0.05583,0.077759,0.093542,0.087168,0.096578,0.087108,0.08389,0.090096,0.115457,0.127532,0.142825,0.136391,0.142765,0.202559,0.239888,0.242984,0.287117,0.280803,0.287056,0.296418,0.312033,0.324492,0.340046,0.349409,0.355662,0.361914,0.393159,0.405663,0.424375,0.421157,0.430445,0.471038,0.474195,0.45858,0.467989,0.499159,0.536595,0.586523,0.611636,0.626536,0.69444
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.618625,63.87658,57.090971,45.020916,36.717525,32.641446,27.994064,24.776426,27.052533,20.647742,21.965076,20.914873,22.424902,23.750529,23.701372,25.561499,30.801287,31.823568,36.881396,27.895877,29.706199,35.847486,32.57658,46.62015,33.423765,43.883965,48.217192,46.288173,43.624844
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.009011,1.276022,1.272865,1.329083,1.357181,1.394748,1.472412,1.559483,1.668122,1.695635,1.618494,1.747317,1.646543,1.682972,1.621955,1.988481,1.946282,2.165559,2.192029
Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.969866,7.50473,5.652365,3.494674,1.216287,1.406462,1.50279,1.647924,1.684409,1.393842,1.217679,1.092631,0.887441,1.331777,1.322442,1.439488,1.470749,2.221054,2.395886,3.124717,2.748914,3.628774,4.658283,4.78751,4.409042,4.837997,5.105711,4.772798,5.672316
Malta,0.655077,0.828296,0.794404,0.725875,0.651329,0.740289,0.781007,0.91718,0.892115,0.992263,1.125603,1.234321,0.843578,1.097652,0.689459,1.54293,1.520429,1.579322,1.579322,1.582414,1.617517,1.668712,2.074071,2.009056,2.251932,2.324338,2.469612,2.374492,2.409246,2.12916,2.489089,2.318417,2.60802,2.598015,2.621893,2.646157,2.711098,2.718652,2.504597,2.580576,2.567454,2.709905,2.365959,2.347587,1.65214,1.347847,0.972465,0.860744
Republic of Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.971528,9.808421,8.854639,6.341591,3.387677,3.080009,2.828816,2.553111,2.136374,1.373559,1.250052,1.376289,1.571835,1.732675,1.906705,1.907004,1.883585,1.936413,2.011256,1.977392,2.189536,2.282884,2.08637,2.156784,2.191165,2.305234,2.480618,2.580362,2.695967
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.794396,0.815907,1.043286,1.106379,0.876666,0.809367,0.741292,0.72047,0.711996,0.70218,0.758324,0.846978,0.938767,0.9926
Republic of North Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.984731,2.748662,2.728344,3.021442,2.511302,2.279994,3.639682,2.968869,2.575354,2.63712,2.740965,2.248945,2.514235,2.457811,2.500941,2.584015,2.709684,2.984595,2.596103,2.709103,2.632979,2.653926,2.661879,2.644283,2.633156,2.780305,2.854681,2.857354,2.808237
Romania,29.791186,31.635658,36.197038,32.763124,38.151441,42.83064,46.394183,52.155908,55.88538,50.540695,45.232512,44.223078,38.840093,37.001813,40.215769,42.985108,48.46944,45.310215,44.168877,49.791259,41.937601,33.988446,32.183139,31.659208,31.969449,37.059939,38.626145,33.179587,26.586332,26.607038,31.042884,29.045758,27.70857,27.592039,27.110364,25.831829,26.136503,25.876141,23.774029,22.264565,23.165679,24.413602,22.884995,23.391982,23.627107,24.657232,26.40996,27.209204
